YrSold,MoSold,ExterQual,KitchenQual,OverallQual,FireplaceQu,BsmtQual,BsmtFinSF1,GrLivArea,GarageArea,LotArea
2008,2,Gd,Gd,7,,Gd,706,1710,548,8450
2007,5,TA,TA,6,TA,Gd,978,1262,460,9600
2008,9,Gd,Gd,7,TA,Gd,486,1786,608,11250
2006,2,TA,Gd,7,Gd,TA,216,1717,642,9550
2008,12,Gd,Gd,8,TA,Gd,655,2198,836,14260
2009,10,TA,TA,5,,Gd,732,1362,480,14115
2007,8,Gd,Gd,8,Gd,Ex,1369,1694,636,10084
2009,11,TA,TA,7,TA,Gd,859,2090,484,10382
2008,4,TA,TA,7,TA,TA,0,1774,468,6120
2008,1,TA,TA,5,TA,TA,851,1077,205,7420
2008,2,TA,TA,5,,TA,906,1040,384,11200
2006,7,Ex,Ex,9,Gd,Ex,998,2324,736,11924
2008,9,TA,TA,5,,TA,737,912,352,12968
2007,8,Gd,Gd,7,Gd,Gd,0,1494,840,10652
2008,5,TA,TA,6,Fa,TA,733,1253,352,10920
2007,7,TA,TA,7,,TA,0,854,576,6120
2010,3,TA,TA,6,TA,TA,578,1004,480,11241
2006,10,TA,TA,4,,,0,1296,516,10791
2008,6,TA,Gd,5,,TA,646,1114,576,13695
2009,5,TA,TA,5,,TA,504,1339,294,7560
2006,11,Gd,Gd,8,Gd,Ex,0,2376,853,14215
2007,6,TA,Gd,7,Gd,TA,0,1108,280,7449
2008,9,Gd,Gd,8,Gd,Gd,0,1795,534,9742
2007,6,TA,TA,5,TA,Gd,840,1060,572,4224
2010,5,TA,Gd,5,TA,TA,188,1060,270,8246
2009,7,Gd,Gd,8,Gd,Gd,0,1600,890,14230
2010,5,TA,Gd,5,,TA,234,900,576,7200
2010,5,Gd,Gd,8,Gd,Ex,1218,1704,772,11478
2006,12,TA,TA,5,Gd,TA,1277,1600,319,16321
2008,5,TA,Fa,4,,TA,0,520,240,6324
2008,7,TA,TA,4,,TA,0,1317,250,8500
2008,6,TA,Gd,5,,TA,0,1228,271,8544
2008,1,Gd,Gd,8,,Ex,0,1234,484,11049
2010,4,TA,Gd,5,Gd,TA,1018,1700,447,10552
2007,8,Ex,Ex,9,Gd,Ex,1153,1561,556,7313
2006,9,Gd,Gd,8,Gd,Ex,0,2452,691,13418
2009,6,TA,TA,5,,Gd,0,1097,672,10859
2009,10,TA,TA,5,TA,TA,1213,1297,498,8532
2010,1,TA,Gd,5,,TA,731,1057,246,7922
2008,6,TA,Fa,4,,,0,1152,0,6040
2006,12,TA,TA,6,TA,TA,643,1324,440,8658
2007,7,TA,TA,5,Gd,TA,967,1328,308,16905
2007,12,TA,Gd,5,,Gd,747,884,504,9180
2008,7,TA,TA,5,,Gd,280,938,308,9200
2006,5,TA,TA,5,,TA,179,1150,300,7945
2010,2,Ex,Ex,9,Gd,Ex,456,1752,576,7658
2009,8,Gd,Gd,7,Ex,Ex,1351,2149,670,12822
2007,7,Gd,Gd,8,,Gd,24,1656,826,11096
2009,6,TA,TA,4,,TA,0,1452,0,4456
2007,1,TA,TA,5,,TA,763,955,386,7742
2007,7,TA,TA,6,,Gd,182,1470,388,13869
2006,9,TA,TA,6,Gd,TA,0,1176,528,6240
2010,5,Fa,TA,5,,Gd,104,816,516,8472
2006,11,Gd,Gd,9,Gd,Ex,1810,1842,894,50271
2007,2,TA,TA,5,TA,TA,384,1360,572,7134
2008,7,TA,TA,6,Gd,TA,490,1425,576,10175
2009,8,Gd,Gd,8,,Gd,649,1739,480,2645
2006,8,Gd,Gd,7,,Gd,0,1720,565,11645
2006,10,Ex,Gd,10,Gd,Ex,0,2945,641,13682
2008,1,TA,TA,5,,TA,632,780,352,7200
2006,5,TA,Gd,6,,Gd,941,1158,576,13072
2007,3,TA,Fa,5,,TA,0,1111,288,7200
2007,10,Gd,Gd,8,Gd,Gd,24,1370,484,6442
2010,4,TA,TA,7,,TA,0,1710,480,10300
2009,2,TA,Gd,7,,Gd,739,2034,645,9375
2007,10,Gd,Gd,8,Gd,Ex,0,2473,852,9591
2010,7,TA,TA,7,Gd,Gd,912,2207,576,19900
2007,6,Gd,Gd,7,,Gd,1013,1479,558,10665
2010,6,TA,TA,4,,TA,0,747,220,4608
2006,7,Gd,TA,7,TA,TA,603,2287,667,15593
2007,2,TA,TA,7,Gd,Gd,1880,2223,516,13651
2007,6,TA,TA,4,,TA,565,845,360,7599
2009,12,TA,TA,7,TA,Gd,0,1718,427,10141
2010,5,TA,TA,5,,TA,320,1086,490,10200
2010,5,Gd,TA,3,,Fa,0,1605,379,5790
2009,11,TA,TA,4,,Gd,462,988,297,1596
2008,4,TA,TA,4,,TA,228,952,283,8475
2008,1,TA,TA,5,,TA,336,1285,240,8635
2010,4,TA,TA,4,,TA,0,1768,0,10778
2009,5,TA,TA,5,,TA,0,1230,440,10440
2009,6,TA,Gd,6,Gd,Gd,448,2142,509,13000
2006,3,TA,TA,6,,Ex,1201,1337,405,4500
2008,10,TA,Gd,8,Gd,Gd,33,1563,758,10206
2007,7,TA,TA,5,,TA,0,1065,461,8892
2009,5,TA,TA,7,TA,Gd,0,1474,400,8530
2006,4,Gd,Gd,8,TA,Gd,0,2417,462,16059
2009,3,Gd,Gd,6,Gd,Gd,0,1560,400,11911
2009,6,Gd,Gd,6,,Gd,0,1224,528,3951
2009,10,Fa,Fa,3,,TA,0,1526,0,8470
2007,8,TA,TA,4,,Gd,588,990,0,8070
2006,7,TA,TA,4,,,0,1040,420,7200
2006,12,TA,TA,5,,TA,600,1235,480,8500
2009,8,TA,TA,5,,Gd,713,964,432,13360
2007,11,TA,TA,6,Gd,TA,1046,2291,506,7200
2007,5,TA,Gd,6,,Gd,648,1786,684,9337
2009,4,Ex,TA,6,TA,Gd,310,1470,420,9765
2006,8,Gd,Gd,7,,Gd,1162,1588,472,10264
2007,5,TA,TA,4,,TA,520,960,432,10921
2010,5,TA,TA,5,,TA,108,835,366,10625
2010,1,TA,TA,4,,TA,569,1225,0,9320
2010,2,TA,Gd,6,TA,TA,1200,1610,480,10603
2010,6,Gd,Gd,6,TA,Gd,0,1732,476,9206
2009,6,TA,TA,5,,,0,1535,410,7018
2010,5,TA,Gd,7,,Gd,0,1226,740,10402
2007,6,TA,TA,7,TA,TA,224,1818,240,7758
2008,8,Gd,Gd,8,Gd,Ex,0,1992,648,9375
2007,8,TA,TA,4,,Fa,0,1047,273,10800
2008,4,TA,TA,5,,TA,104,789,250,6000
2007,8,TA,Fa,5,,TA,0,1517,0,8500
2010,1,TA,TA,6,TA,Gd,705,1844,546,11751
2006,10,TA,TA,6,,TA,444,1855,325,9525
2010,4,TA,TA,7,TA,Gd,250,1430,400,7750
2007,10,Gd,Ex,7,Gd,Ex,984,2696,792,9965
2007,10,TA,Gd,6,Gd,Gd,35,2259,450,21000
2007,7,TA,Gd,6,TA,TA,774,2320,180,7259
2007,6,TA,TA,6,Fa,Gd,419,1458,440,3230
2009,9,TA,TA,5,Po,TA,170,1092,288,11616
2007,4,TA,TA,5,,Gd,0,1125,430,8536
2010,5,TA,Gd,7,TA,Gd,1470,3222,594,12376
2006,7,Gd,Gd,6,Gd,Gd,0,1456,390,8461
2006,10,TA,TA,6,TA,TA,938,988,540,21453
2007,6,TA,TA,4,,TA,0,1123,264,6060
2008,6,TA,TA,6,,TA,570,1080,288,9464
2008,3,Gd,Gd,6,,Gd,300,1199,530,7892
2009,1,TA,TA,6,TA,Gd,0,1586,435,17043
2006,6,TA,TA,6,,TA,490,754,0,6780
2007,2,TA,TA,6,TA,Gd,120,958,440,4928
2007,6,TA,TA,5,TA,TA,116,840,0,4388
2006,7,TA,TA,6,Fa,TA,512,1348,453,7590
2006,7,TA,Ex,5,,TA,567,1053,750,8973
2006,5,TA,Gd,7,Gd,TA,445,2157,487,14200
2009,7,Gd,Gd,6,TA,Gd,695,2054,390,12224
2007,7,TA,Gd,5,,TA,405,1327,624,7388
2009,6,Gd,Gd,8,,Ex,1005,1296,471,6853
2006,7,TA,TA,5,TA,TA,570,1721,440,10335
2008,5,TA,TA,7,Gd,TA,0,1682,530,10400
2007,7,TA,TA,5,Fa,TA,695,1214,318,10355
2006,7,TA,TA,7,,TA,0,1959,766,11070
2008,12,Gd,Gd,8,TA,Gd,668,1852,660,9066
2009,8,TA,Gd,6,,Gd,821,1764,470,15426
2010,4,TA,TA,4,Po,TA,432,864,0,10500
2006,1,Gd,Gd,7,,Gd,1300,1734,660,11645
2010,6,TA,TA,5,,TA,507,1385,720,8520
2009,6,Gd,Gd,7,,Gd,679,1501,577,10335
2006,11,TA,TA,5,,TA,1332,1728,504,9100
2006,4,Gd,Gd,6,,Gd,0,1709,380,2522
2009,11,TA,TA,5,,TA,209,875,180,6120
2010,5,Gd,Gd,7,Gd,Gd,0,2035,434,9505
2008,4,TA,Gd,7,,Gd,680,1080,0,7500
2006,4,TA,TA,5,,Gd,0,1344,240,6240
2007,1,TA,TA,5,,TA,716,969,440,10356
2008,1,Gd,Gd,8,Gd,Ex,1400,1710,866,13891
2006,6,TA,TA,6,Gd,TA,416,1993,495,14803
2008,3,TA,TA,6,Gd,Gd,429,1252,564,13500
2006,3,TA,TA,6,,TA,0,1200,312,11340
2008,4,TA,TA,6,,TA,0,1096,0,9600
2006,6,TA,TA,5,,,0,1040,625,7200
2010,5,Gd,Ex,8,Gd,Ex,0,1968,680,12003
2010,5,Gd,Gd,7,Gd,Gd,222,1947,678,12552
2006,3,Gd,Gd,7,Gd,Gd,57,2462,576,19378
2008,6,TA,TA,6,,Gd,660,1232,516,11120
2008,3,Gd,Ex,9,Gd,Ex,1016,2668,726,13688
2010,5,Gd,Gd,7,Gd,Gd,1201,1541,532,12182
2007,4,TA,TA,4,,TA,0,882,0,5500
2007,10,TA,Gd,6,,TA,370,1616,216,5400
2008,9,TA,TA,5,,TA,351,1355,0,10106
2009,11,Gd,TA,5,Gd,TA,379,1867,303,10708
2007,11,Gd,Ex,8,Gd,Ex,1288,2161,789,10562
2007,5,Gd,Gd,7,Gd,Gd,0,1720,440,8244
2006,1,Gd,TA,8,TA,Gd,0,1707,511,16669
2007,5,TA,TA,5,,TA,360,1382,660,12358
2010,5,TA,TA,6,Gd,TA,639,1656,528,31770
2006,6,Gd,Gd,7,TA,Gd,495,1767,504,5306
2008,6,TA,TA,6,TA,TA,288,1362,504,10197
2008,11,TA,TA,6,TA,Gd,1398,1651,616,12416
2007,6,TA,Gd,6,Gd,TA,477,2158,576,12615
2007,9,Gd,TA,6,TA,Gd,831,2060,521,10029
2006,7,Gd,Gd,5,Gd,TA,57,1920,451,13650
2009,7,Ex,Ex,9,Gd,Ex,1904,2234,1166,17423
2007,7,Gd,TA,5,,TA,0,968,480,8520
2007,6,Gd,Gd,6,TA,Gd,436,1525,440,2117
2006,7,TA,TA,7,Gd,Fa,352,1802,216,7588
2007,6,TA,TA,5,Gd,,0,1340,252,9060
2008,6,TA,Gd,7,,Gd,0,2082,484,11426
2006,6,TA,TA,5,,Fa,0,1252,576,7438
2006,6,Gd,Ex,10,TA,TA,0,3608,840,22950
2009,6,TA,Gd,7,,Gd,611,1217,497,9947
2009,8,TA,TA,5,,Fa,0,1656,180,10410
2009,6,TA,TA,5,TA,Gd,1086,1224,528,7018
2008,8,Gd,Ex,8,Gd,Ex,1153,1593,682,4923
2007,12,Gd,Gd,8,TA,Gd,297,2727,440,10570
2007,6,TA,Gd,7,,TA,626,1479,484,7472
2009,9,Gd,Gd,7,,Gd,560,1431,666,9017
2006,5,Gd,Gd,7,,Gd,0,1709,380,2522
2008,5,TA,TA,5,,TA,390,864,352,7180
2009,7,TA,TA,6,TA,Gd,566,1456,440,2280
2007,9,Ex,Ex,7,Gd,Ex,1126,1726,786,9416
2006,3,Gd,Gd,8,Ex,TA,1036,3112,795,25419
2009,7,TA,TA,6,,TA,0,2229,0,5520
2009,1,Gd,Ex,8,Gd,Ex,1088,1713,856,9591
2010,3,TA,TA,4,,Gd,0,1121,440,8546
2008,2,TA,TA,6,Fa,TA,641,1279,473,10125
2006,5,TA,TA,6,,Fa,617,1310,398,7000
2008,1,Gd,Gd,6,Gd,Gd,662,848,420,4438
2009,4,TA,TA,5,,TA,312,1284,240,3500
2009,5,TA,TA,7,,Gd,0,1442,500,11851
2007,3,TA,TA,5,TA,TA,0,1696,349,13673
2008,4,TA,TA,4,Po,TA,419,1100,312,12493
2007,4,Gd,TA,7,Gd,Gd,1065,2062,454,14364
2008,7,TA,TA,6,,Gd,787,1092,504,8250
2008,4,TA,TA,5,,TA,468,864,0,5604
2010,3,TA,Gd,6,,Gd,36,1212,460,10420
2009,7,TA,Gd,7,TA,Gd,822,1852,644,8640
2006,7,TA,TA,5,,Gd,716,990,576,13568
2010,3,TA,TA,6,,Gd,378,1392,299,10900
2006,5,TA,Gd,5,Fa,TA,360,1236,447,10011
2008,4,Gd,Gd,7,,Gd,946,1436,484,8450
2006,9,TA,TA,4,,TA,0,1328,210,9906
2008,5,Gd,Gd,7,TA,TA,341,1954,431,15660
2006,3,Gd,Gd,7,,Gd,16,1248,438,3010
2006,4,Gd,Gd,7,,Gd,0,1498,675,8990
2009,12,Gd,Gd,6,TA,Gd,0,2267,390,8068
2006,2,TA,TA,6,TA,Gd,550,1552,434,11475
2009,3,TA,TA,4,,TA,524,864,576,10500
2009,6,Ex,Ex,10,Ex,Ex,56,2392,968,13472
2009,5,TA,TA,5,,TA,0,1302,280,1680
2007,6,Gd,Gd,7,TA,Gd,565,2520,721,9950
2008,9,TA,TA,6,,TA,321,987,280,1869
2010,5,TA,TA,5,Fa,TA,842,912,336,8521
2009,5,Gd,Gd,7,TA,Gd,16,1555,430,3182
2010,4,TA,TA,6,,TA,0,1194,312,8760
2009,7,Gd,Ex,8,TA,Gd,689,2794,810,15138
2006,6,TA,TA,6,Po,TA,0,987,288,1680
2010,2,TA,TA,5,,TA,182,894,308,10650
2010,5,Gd,Gd,6,TA,Gd,625,1960,440,7851
2008,8,TA,TA,6,,TA,358,987,264,1680
2010,5,Gd,Gd,7,,Gd,24,1414,494,8773
2010,2,Gd,Gd,7,,Gd,402,1744,457,9453
2007,12,Ex,Gd,8,,Ex,0,1694,818,12030
2010,4,TA,TA,6,Gd,TA,94,1487,220,8741
2010,4,Gd,Gd,8,,Gd,1078,1566,750,9000
2007,8,TA,Gd,5,,TA,329,866,0,3880
2006,4,TA,TA,5,,TA,0,1440,352,5000
2009,4,TA,TA,6,TA,Gd,0,1217,288,10762
2010,5,Gd,Gd,7,Fa,Gd,695,2110,463,8880
2006,6,TA,TA,7,TA,Gd,929,1872,604,10400
2006,4,TA,Fa,6,,Fa,0,1928,440,9142
2006,6,TA,TA,6,TA,TA,0,1375,451,11310
2007,9,Gd,Gd,7,,Gd,0,1668,500,11317
2010,5,TA,Fa,3,,TA,0,1306,0,5350
2007,12,Gd,Gd,8,Gd,Gd,1573,1625,538,4750
2008,12,Gd,Gd,6,,Gd,0,1640,520,8366
2007,10,TA,Gd,6,,Gd,270,1302,309,9350
2010,6,TA,TA,5,,TA,922,1314,294,8400
2006,2,Gd,Gd,7,TA,Gd,0,2291,429,8738
2008,5,Gd,Gd,6,,Gd,503,1728,673,8791
2009,3,Gd,Gd,7,Gd,Gd,1334,1604,660,8814
2008,5,Gd,Gd,7,TA,Gd,361,1792,564,12435
2008,12,TA,TA,5,,,0,882,308,12702
2009,5,TA,TA,6,TA,TA,672,1382,884,19296
2007,11,Gd,Ex,8,Gd,Ex,0,2574,868,9588
2006,7,TA,TA,6,TA,Gd,506,1212,492,8471
2010,4,TA,TA,5,,TA,234,1316,484,5500
2008,6,TA,TA,5,,Fa,0,764,504,5232
2008,6,TA,Gd,6,TA,Gd,588,1422,576,12090
2006,6,TA,TA,6,TA,Gd,714,1511,413,11207
2008,7,TA,Gd,5,Gd,TA,378,2192,240,8400
2008,2,TA,TA,5,Gd,TA,403,778,924,6900
2007,5,TA,TA,6,Fa,TA,751,1113,504,7917
2006,8,Gd,Gd,8,Gd,Gd,0,1939,1053,10728
2008,4,TA,TA,7,TA,Gd,226,1363,439,39104
2010,4,Gd,Gd,8,Gd,Gd,524,2270,671,11764
2009,4,TA,TA,6,Gd,TA,620,1632,338,9600
2007,6,TA,TA,5,,TA,546,816,264,8314
2009,10,Gd,Ex,7,,TA,0,1548,672,7264
2010,4,Gd,Gd,7,,Ex,0,1560,573,9196
2010,6,TA,TA,4,,TA,120,864,400,19138
2007,5,Ex,Ex,9,Ex,Ex,0,2121,732,14450
2008,3,TA,TA,7,TA,Gd,392,2022,505,10005
2007,1,Gd,Gd,7,TA,Gd,421,1982,575,11287
2006,5,Gd,Gd,6,,Gd,905,1262,572,7200
2009,4,Gd,Gd,7,Gd,Gd,904,1314,626,5063
2009,12,Gd,Gd,8,Gd,Gd,0,1468,898,9612
2007,7,Gd,Gd,6,,Gd,430,1575,529,8012
2007,6,Gd,Gd,7,,Gd,0,1250,528,4251
2006,6,TA,Gd,6,Gd,TA,600,1734,440,9786
2006,6,TA,TA,4,,TA,614,858,0,8125
2010,2,TA,TA,5,,TA,450,900,280,9819
2007,7,TA,TA,6,,TA,0,1396,384,8730
2006,7,Gd,Gd,8,Gd,Gd,0,1919,685,15611
2008,3,TA,Fa,5,,TA,210,1716,0,5687
2009,1,TA,TA,5,Gd,TA,292,1716,281,11409
2006,3,TA,Gd,7,TA,TA,795,2263,539,16659
2009,10,TA,TA,6,Gd,TA,1285,1644,418,9600
2006,3,TA,TA,6,,TA,819,1003,588,7937
2007,6,TA,TA,5,,TA,420,1558,282,13710
2007,6,Gd,Gd,7,TA,Gd,649,1950,576,7399
2007,6,Gd,TA,6,Gd,TA,384,1743,539,11700
2009,8,TA,Gd,6,Gd,TA,0,1152,300,14000
2006,6,TA,TA,5,Gd,TA,841,1336,375,15750
2007,5,Gd,Gd,8,TA,Gd,281,2452,683,16226
2006,1,Gd,Gd,7,TA,Gd,0,1541,843,13704
2006,7,TA,TA,5,,TA,894,894,552,9800
2008,5,TA,Gd,7,Ex,TA,0,3493,870,18386
2007,7,Gd,Gd,8,,Gd,1464,2000,888,10386
2007,6,Gd,Gd,7,TA,Gd,700,2243,746,13474
2008,3,TA,Fa,6,,TA,0,1406,0,7920
2009,3,TA,TA,4,,TA,262,861,539,12342
2006,11,Gd,Ex,9,Ex,Ex,1274,1944,708,12378
2006,5,TA,Gd,6,TA,Gd,518,1501,420,7685
2009,5,TA,TA,6,Gd,TA,680,972,240,8000
2006,5,TA,TA,5,Gd,Gd,507,1118,410,7800
2006,8,TA,Ex,7,Gd,TA,16,1641,546,9600
2009,7,Gd,Gd,7,Gd,Gd,425,1432,432,7795
2009,8,Gd,Ex,7,TA,Gd,692,2353,484,13005
2007,12,Gd,Gd,8,Gd,Gd,0,1959,1025,9000
2009,4,Gd,Gd,7,TA,Gd,987,2646,656,9900
2009,6,TA,TA,7,TA,Gd,1036,1472,588,14115
2006,9,TA,Gd,9,,Ex,0,2596,840,16259
2007,6,Gd,Gd,8,Gd,Ex,970,2468,872,12099
2007,8,Gd,Gd,7,TA,TA,28,2730,576,10380
2006,7,TA,TA,3,,TA,256,1163,220,5820
2010,6,Gd,Gd,7,Gd,Gd,0,2978,564,11275
2007,12,TA,TA,5,,TA,116,803,360,5000
2008,5,Gd,Gd,8,Gd,Gd,1619,1719,473,10846
2006,4,TA,TA,6,,TA,565,1383,292,11600
2009,7,TA,Gd,6,,TA,0,2134,441,11888
2009,7,TA,TA,5,,TA,0,1192,189,6402
2007,11,TA,TA,5,,TA,40,1728,352,10624
2007,8,TA,TA,5,,TA,846,1056,308,8176
2009,10,Gd,Gd,8,Gd,Gd,1124,1629,880,10655
2008,7,Gd,Gd,7,Gd,Gd,720,1358,484,8198
2008,7,TA,TA,6,TA,Gd,828,1638,472,9042
2007,7,Gd,Gd,9,Gd,Ex,1249,1922,676,14157
2008,12,Gd,Gd,7,,Gd,810,1536,532,9135
2006,5,Gd,Gd,7,,Gd,213,1621,440,14145
2009,6,TA,TA,6,,TA,585,1215,297,12400
2010,4,Gd,Gd,8,,Gd,0,1908,431,14191
2009,9,Fa,TA,4,,TA,0,841,294,8400
2006,5,TA,TA,3,,,0,1040,400,8544
2008,7,Ex,Ex,9,Ex,Ex,28,1684,564,8849
2010,4,TA,TA,5,,Gd,129,1112,336,2592
2006,10,TA,Fa,6,Gd,TA,0,1577,312,6435
2007,4,TA,TA,6,,TA,498,958,301,12772
2009,12,TA,TA,6,Gd,TA,1270,1478,498,17600
2008,10,Gd,Gd,7,,Gd,573,1626,474,2448
2006,4,Ex,Ex,9,Ex,Ex,1410,2728,706,20431
2007,12,Ex,Ex,9,Gd,Ex,0,1869,617,7820
2006,12,TA,Gd,7,TA,Gd,1082,1453,445,5271
2008,3,TA,TA,5,,TA,236,1111,200,9084
2010,5,TA,TA,6,,TA,0,720,484,8520
2006,6,TA,TA,6,Gd,TA,388,1595,240,8400
2007,8,Gd,Gd,6,,Gd,334,1200,521,11249
2009,7,TA,Gd,6,,Gd,560,1167,400,9248
2007,8,TA,TA,5,Po,Gd,874,1142,528,4224
2006,7,TA,Gd,5,,TA,300,1352,288,6930
2006,6,Gd,Gd,8,TA,Gd,956,1924,592,12011
2007,6,TA,TA,6,TA,Gd,773,912,470,7540
2008,7,TA,TA,5,,TA,399,1505,240,9144
2009,7,Gd,Gd,7,Ex,,0,1922,672,7301
2009,5,TA,Gd,6,,TA,162,987,264,1680
2006,7,TA,TA,6,TA,Gd,712,1574,566,18800
2009,7,TA,TA,5,,TA,456,1344,468,10690
2009,7,TA,TA,6,Gd,Gd,609,1394,514,9500
2008,12,TA,TA,6,Gd,Gd,371,1431,296,9150
2010,3,TA,TA,5,Gd,TA,540,1268,244,7800
2010,3,TA,Gd,5,Gd,TA,72,1287,576,9830
2006,1,TA,TA,6,TA,Gd,0,1664,460,8121
2008,7,TA,TA,4,Gd,,0,1588,680,17120
2010,2,TA,TA,6,,Gd,623,752,264,7175
2009,11,TA,TA,5,,TA,428,1319,270,10634
2007,7,Gd,Gd,7,Gd,Gd,0,1928,434,8200
2009,3,Fa,Fa,1,,Fa,350,904,0,10020
