YrSold,MoSold,ExterQual,KitchenQual,OverallQual,FireplaceQu,BsmtQual,BsmtFinSF1,GrLivArea,GarageArea,LotArea
2006,7,Gd,TA,5,,Gd,298,914,576,8846
2007,12,Gd,Gd,8,Gd,Gd,0,2466,610,11143
2010,6,Gd,Ex,9,Ex,Ex,1445,1856,834,11394
2009,6,TA,TA,6,TA,Gd,0,1800,463,8123
2010,5,TA,Gd,5,Gd,TA,218,1691,308,5000
2006,8,Gd,Gd,7,Gd,Gd,0,1301,572,7200
2007,4,Gd,Gd,7,,Gd,0,1797,639,9245
2009,10,TA,TA,6,,Fa,0,784,360,9000
2007,6,Gd,Gd,6,Fa,Gd,985,1953,501,53107
2010,4,Gd,Gd,8,TA,Gd,24,1269,430,3182
2006,5,TA,TA,5,,TA,0,1184,0,8410
2009,10,TA,TA,6,Fa,TA,631,1125,352,7200
2008,7,Gd,Gd,7,,Gd,0,1479,577,9382
2008,8,Ex,Ex,10,Ex,Ex,1280,2332,846,12474
2008,4,TA,TA,5,,TA,241,1367,384,8405
2009,6,TA,Gd,6,TA,Ex,690,1961,560,12209
2007,7,TA,TA,5,,,0,882,294,8339
2006,4,TA,TA,4,TA,TA,266,788,0,7446
2007,7,TA,TA,5,,TA,0,1034,240,10134
2010,6,TA,TA,5,,TA,739,1144,596,9571
2009,9,TA,TA,5,,TA,777,894,600,7200
2007,7,TA,TA,5,TA,TA,540,1812,264,7590
2007,11,TA,TA,5,,Fa,0,1077,338,8967
2009,10,Gd,Gd,7,,Gd,812,1550,438,8125
2008,12,Gd,Ex,8,Gd,Gd,786,1288,500,14963
2006,7,Gd,Gd,7,Gd,Gd,24,1310,400,8767
2008,8,TA,TA,5,,TA,0,672,240,10200
2006,7,Gd,Gd,8,TA,Gd,0,2263,420,12090
2007,5,TA,TA,6,TA,Gd,0,1572,373,10364
2009,6,TA,TA,4,TA,TA,1116,1620,490,9991
2008,3,TA,TA,6,,TA,0,1639,240,10480
2008,3,TA,TA,6,,Gd,0,1680,308,15576
2007,8,Gd,Gd,7,Gd,Ex,0,2172,947,14154
2008,4,Gd,Ex,8,Gd,Ex,789,2078,836,10800
2009,6,TA,TA,5,,TA,0,1276,350,9571
2006,1,TA,TA,5,,TA,1056,1056,572,34650
2010,6,Ex,Gd,7,Gd,Ex,578,1478,484,4403
2010,3,TA,TA,5,Gd,TA,0,1028,360,8960
2008,12,Gd,Gd,7,TA,Gd,50,2097,678,11228
2007,8,Gd,Gd,7,,Gd,24,1340,396,8899
2006,3,TA,TA,6,TA,TA,209,1400,440,7844
2007,11,TA,TA,6,Gd,Gd,1128,2624,864,22420
2007,4,TA,TA,5,,TA,312,1134,240,8160
2010,7,TA,TA,5,Fa,TA,775,1056,304,8450
2008,11,TA,TA,7,,Gd,1309,1344,784,7060
2009,6,Gd,Gd,6,TA,Gd,1246,1602,529,16635
2008,2,TA,TA,5,,TA,0,988,520,21750
2008,6,Gd,Gd,8,TA,Gd,986,2630,696,9200
2008,5,TA,TA,6,Gd,Gd,616,1196,297,9000
2009,9,TA,TA,7,Gd,TA,0,1389,240,3378
2009,8,Gd,Gd,7,TA,Gd,1518,1644,569,12800
2008,7,TA,TA,4,,TA,288,907,352,8593
2007,9,Gd,Gd,7,,Gd,664,1208,628,6762
2009,3,TA,Gd,6,TA,Gd,1005,1412,576,11457
2008,7,TA,TA,6,,TA,387,987,264,1680
2008,9,TA,TA,6,,TA,0,1198,0,5586
2007,8,TA,TA,5,,TA,471,1365,440,1920
2008,7,TA,TA,6,TA,Gd,0,1604,470,10839
2008,6,TA,TA,4,,Gd,495,630,0,1890
2009,4,Gd,Gd,7,TA,Gd,385,1661,550,10667
2006,10,TA,TA,6,,Fa,0,1118,440,4400
2009,1,Gd,TA,6,,TA,0,904,180,6000
2007,3,TA,Gd,5,Gd,TA,365,694,352,4280
2009,8,TA,Gd,6,,TA,0,1196,528,12354
2009,4,Ex,Ex,10,Gd,Ex,1767,2402,672,15431
2008,9,TA,Fa,4,,TA,133,1440,0,12108
2008,6,TA,TA,5,Gd,TA,0,1573,360,6240
2007,6,Gd,Gd,7,Gd,Ex,0,1258,648,3922
2008,7,Gd,Gd,7,TA,Gd,642,1908,493,8750
2009,11,TA,TA,6,Gd,TA,0,1689,480,9855
2010,6,Gd,Gd,6,Gd,TA,247,1888,578,16492
2006,7,Gd,Gd,7,TA,Gd,0,1886,431,11214
2006,6,TA,TA,6,Gd,TA,0,1376,198,8600
2007,6,TA,TA,3,,TA,331,1183,308,6000
2006,6,TA,Gd,6,,TA,0,813,270,5684
2006,12,TA,Gd,7,TA,Gd,655,1533,576,70761
2007,7,Gd,TA,6,,Ex,742,1756,422,9303
2009,6,Gd,Gd,8,,Gd,0,1590,676,9000
2006,7,TA,TA,5,,TA,1606,1728,560,9297
2007,9,TA,TA,7,TA,TA,916,1242,528,9600
2008,5,TA,TA,5,,TA,0,1344,513,4571
2008,3,TA,Gd,4,Gd,Gd,1116,1663,529,53227
2008,6,TA,Gd,8,Gd,TA,0,1666,228,5100
2009,7,TA,Gd,5,TA,TA,185,1203,352,7015
2009,12,Gd,TA,8,,Gd,544,1935,552,8004
2009,4,Gd,Gd,7,,Gd,350,1135,576,7200
2009,12,TA,TA,5,Po,TA,553,864,360,8281
2008,8,TA,TA,6,Gd,TA,326,1660,240,11988
2009,8,TA,TA,5,,Gd,616,1040,0,8430
2006,5,Gd,Gd,7,TA,Gd,0,1414,398,3072
2007,4,TA,TA,7,Po,TA,778,1277,526,10628
2007,6,TA,Gd,5,Gd,TA,386,1644,312,9480
2007,5,Gd,Gd,8,Gd,Gd,0,1634,866,11428
2008,6,Gd,Gd,6,,Gd,426,1710,506,9291
2010,6,Gd,Gd,8,,Gd,368,1502,528,6820
2007,11,TA,TA,7,Gd,Gd,0,1969,534,11952
2008,6,TA,TA,6,,Gd,459,1072,525,3675
2007,7,Gd,Gd,8,Ex,Ex,1350,1976,908,14977
2007,8,Gd,Ex,8,,Gd,1196,1652,499,5330
2007,7,TA,TA,5,,TA,630,970,624,8480
2008,4,TA,Gd,6,TA,Gd,994,1493,508,13125
2007,3,Ex,Ex,9,Gd,Gd,0,2643,694,13693
2009,9,Gd,Gd,8,Gd,Ex,1288,1718,826,10637
2007,3,TA,TA,4,,Fa,168,1131,672,5925
2006,3,Gd,Gd,9,Gd,Ex,1261,1850,772,16033
2006,8,Gd,Ex,9,Gd,Ex,1567,1792,874,11846
2009,6,Gd,Ex,7,Gd,TA,299,1826,164,2500
2006,5,TA,TA,6,,Ex,897,1216,402,4500
2007,3,TA,Gd,5,,TA,588,999,264,7758
2009,7,Gd,Gd,5,Gd,TA,607,1113,264,9600
2007,6,TA,TA,5,,TA,836,1073,515,10289
2007,2,TA,TA,5,TA,Gd,998,1484,487,12243
2006,5,TA,TA,5,Gd,TA,664,2414,520,10800
2009,5,TA,Gd,4,,Gd,515,630,286,1526
2008,6,TA,TA,5,Gd,Gd,0,1304,336,2665
2006,8,TA,Fa,6,TA,TA,403,1578,240,9490
2006,5,Gd,TA,6,,Gd,0,1456,429,15578
2008,6,TA,TA,5,Fa,TA,374,1269,308,7931
2009,12,TA,TA,5,,Fa,0,886,273,5784
2009,11,TA,TA,4,,TA,495,720,0,7879
2007,5,Gd,Gd,8,Gd,Gd,1231,3228,546,12692
2008,6,TA,TA,7,,TA,329,1820,240,9120
2009,6,TA,Gd,5,,TA,450,899,288,7800
2007,6,TA,TA,5,,TA,111,912,297,7535
2007,5,TA,TA,6,,TA,356,1218,264,1890
2008,2,Gd,Gd,7,,Gd,400,1768,603,9803
2007,4,TA,TA,5,,TA,698,1214,461,9170
2010,3,TA,TA,7,TA,TA,1247,1801,484,15602
2009,6,TA,TA,6,Fa,TA,257,1322,440,2308
2009,7,TA,TA,5,,TA,0,1960,400,7596
2006,9,Gd,Gd,8,TA,Gd,380,1911,471,9554
2009,9,Gd,Gd,6,,Gd,27,1218,676,7862
2008,10,TA,Gd,7,Gd,TA,141,1378,360,9600
2009,7,TA,TA,5,,TA,991,1041,270,9600
2009,6,Gd,TA,5,TA,TA,650,1363,288,14559
2006,3,Gd,Gd,7,Gd,Gd,0,1368,474,6792
2006,7,TA,TA,5,,TA,521,864,624,9100
2007,6,TA,TA,6,,TA,336,1080,484,9187
2007,6,TA,TA,5,,TA,0,789,200,10594
2009,9,Ex,Ex,10,Gd,Ex,1436,2020,900,12220
2009,8,TA,TA,6,TA,TA,0,2119,583,10448
2009,7,Gd,Gd,7,TA,Gd,0,2344,889,10208
2007,5,TA,TA,6,,Gd,706,1796,546,9531
2009,6,Gd,Gd,7,Gd,Gd,0,2080,282,10918
2008,8,TA,TA,4,,,0,1294,0,10800
2007,5,TA,TA,6,Gd,TA,777,1244,336,11988
2006,10,TA,TA,6,Gd,TA,399,1664,420,5000
2007,10,Ex,Ex,10,Gd,Ex,2260,4676,884,40094
2007,8,Gd,Gd,7,TA,Gd,719,2398,834,11787
2006,4,Gd,Gd,7,TA,Gd,0,1266,453,7500
2007,6,TA,TA,5,,Gd,377,928,252,13300
2008,11,Ex,Ex,9,Gd,Ex,1330,2713,858,14948
2007,7,TA,TA,4,,TA,348,605,0,9098
2007,3,Gd,TA,6,TA,TA,1219,2515,484,32668
2008,8,Gd,Gd,6,Fa,Gd,783,1509,600,10200
2008,6,TA,TA,6,,Fa,0,1362,502,6155
2010,4,TA,TA,5,Po,,0,827,392,7200
2007,1,Fa,Fa,1,,,0,334,0,5000
2006,10,Gd,Gd,8,Gd,Ex,0,1414,403,9056
2008,1,TA,TA,5,,Gd,969,1347,0,7000
2008,7,TA,Gd,7,,Gd,0,1724,527,8924
2008,4,TA,TA,4,,TA,600,864,576,12735
2006,7,TA,TA,5,Fa,TA,673,1159,336,11553
2010,5,Gd,Gd,8,TA,Gd,1358,1601,670,11423
2009,3,Ex,Ex,9,Gd,Ex,1260,1838,765,14601
2007,6,Gd,Gd,8,TA,Gd,0,2285,648,11000
2009,6,Gd,Gd,7,TA,Ex,144,1680,583,10140
2007,6,TA,TA,7,,Gd,584,767,367,4058
2006,9,Gd,Gd,7,Gd,Gd,554,1496,426,17104
2006,2,Gd,Gd,7,,Gd,1002,2183,786,13837
2007,5,TA,TA,6,Gd,Gd,300,1635,440,8737
2007,4,TA,TA,5,,Gd,619,768,624,7244
2008,6,TA,TA,5,,TA,180,825,720,8235
2009,11,Gd,Gd,7,Gd,Gd,0,2094,615,9375
2008,10,TA,TA,6,,Gd,559,1069,440,4043
2008,6,TA,TA,5,,TA,308,928,288,6000
2009,7,Gd,Gd,8,Gd,Ex,0,1717,908,11146
2009,5,TA,Gd,4,,,0,1126,520,8777
2008,8,Gd,Gd,7,Gd,Gd,866,2046,871,10625
2006,8,TA,TA,5,Gd,TA,0,1048,280,6380
2006,5,TA,TA,5,TA,TA,895,1092,299,14850
2006,9,TA,TA,4,,TA,637,1336,570,11040
2008,8,TA,TA,7,TA,Gd,604,1446,406,21872
2006,10,Gd,Gd,7,TA,Gd,0,1557,420,3196
2010,5,TA,TA,5,Gd,Gd,1302,1392,528,11341
2006,4,TA,TA,5,TA,Gd,1071,1389,418,10010
2008,7,TA,TA,5,Gd,TA,290,996,0,13907
2008,7,TA,TA,6,Gd,Gd,0,1674,396,21780
2006,7,Gd,Gd,7,TA,Gd,728,2295,590,13346
2010,5,TA,Fa,6,,Gd,0,1647,216,6858
2008,6,Gd,Ex,9,Gd,Gd,0,2504,656,11198
2010,3,Gd,Gd,7,,Gd,2,1535,532,10171
2009,9,Gd,Gd,8,Gd,Gd,1441,2132,612,12327
2006,12,TA,TA,5,TA,Gd,943,943,600,7032
2008,11,TA,TA,5,,TA,231,1728,576,13101
2006,10,TA,Gd,6,,TA,414,864,288,7332
2009,7,TA,Gd,7,,Ex,0,1692,650,13159
2007,12,TA,TA,7,TA,Gd,0,1430,400,9967
2007,12,TA,TA,5,,TA,349,1109,288,10500
2008,10,TA,TA,5,,TA,442,1216,336,8480
2009,8,TA,TA,7,Gd,TA,0,1477,216,6292
2006,5,TA,TA,5,Fa,TA,328,1320,564,11777
2008,2,Gd,Gd,7,,Gd,0,1392,540,3604
2008,11,TA,TA,5,,TA,0,1795,352,12150
2007,6,TA,Gd,6,Gd,TA,594,1429,572,14585
2009,8,Ex,Ex,8,Gd,Ex,0,2042,1390,12704
2007,5,TA,TA,6,,Gd,816,816,0,11841
2008,7,Ex,Gd,10,Gd,TA,0,2775,880,13500
2009,7,TA,Gd,4,,TA,0,1573,240,6120
2006,3,Gd,Gd,8,Gd,Ex,1460,2028,880,11443
2008,5,TA,Fa,6,,TA,210,838,275,10267
2009,7,TA,TA,5,,TA,672,860,528,8740
2009,6,TA,Ex,5,Gd,TA,1324,1473,452,25095
2008,8,TA,TA,5,,TA,0,935,308,9100
2008,9,Gd,Gd,7,,Gd,490,1582,520,8320
2009,6,Ex,Ex,10,Gd,Ex,1338,2296,842,13478
2008,6,TA,TA,5,,TA,816,816,816,6600
2009,5,Gd,Gd,6,,Gd,685,848,420,4435
2008,4,TA,TA,5,,Gd,0,924,280,7990
2006,8,Gd,Gd,8,TA,Gd,1422,1826,758,11302
2006,10,TA,TA,6,,TA,0,1368,216,3600
2007,2,Gd,Gd,7,Gd,Ex,0,1402,648,3922
2006,3,TA,Gd,5,TA,Gd,1283,1647,621,12984
2008,7,TA,TA,6,TA,Gd,81,1556,452,1950
2006,6,Gd,Ex,8,Gd,Gd,546,1904,736,10927
2007,12,TA,Gd,6,Gd,TA,0,1375,544,9000
2006,2,Gd,Gd,8,TA,Gd,789,1915,506,10041
2010,6,Gd,Gd,7,,Gd,0,1200,480,3182
2008,9,Gd,Gd,7,TA,Gd,922,1494,530,12803
2009,10,TA,TA,7,Fa,TA,454,1986,486,13600
2009,11,TA,Gd,5,,Gd,732,1040,576,12464
2006,8,TA,Ex,5,,TA,603,2008,230,7800
2007,9,TA,TA,8,Gd,Gd,428,3194,380,12168
2007,4,TA,TA,4,,TA,903,1029,261,7943
2009,5,Gd,Ex,9,Ex,Ex,904,2153,736,11050
2007,7,TA,TA,6,TA,Gd,605,1032,564,10395
2009,11,Gd,Ex,8,TA,Gd,990,1872,531,11885
2007,12,TA,TA,5,,Gd,206,1120,0,8402
2010,5,TA,TA,4,,Gd,150,630,0,1491
2010,5,TA,Gd,6,,TA,763,1054,480,8800
2006,6,Gd,Gd,6,Gd,Gd,457,1509,393,7861
2008,6,TA,Gd,6,,TA,0,832,528,7227
2007,7,Ex,Gd,9,Gd,Ex,48,1828,774,11694
2008,8,Gd,Gd,8,Gd,Gd,871,2262,749,12244
2008,9,TA,TA,3,,TA,41,864,0,8248
2008,6,TA,TA,6,TA,TA,956,2614,624,10800
2009,7,TA,TA,5,,TA,560,980,484,7064
2007,6,Gd,Gd,6,TA,Gd,420,1512,440,2117
2006,11,TA,TA,6,TA,TA,247,1790,484,10400
2010,2,TA,TA,6,,TA,0,1116,440,10000
2007,8,TA,TA,5,TA,TA,0,1422,286,12342
2010,3,TA,TA,6,Gd,TA,674,1520,364,9600
2007,9,TA,Fa,5,TA,Gd,650,2080,504,11606
2008,6,TA,TA,6,,TA,624,1350,520,9020
2006,6,TA,Ex,5,,Fa,0,1750,240,9000
2007,8,Gd,Gd,8,Gd,Gd,24,1554,627,4590
2009,4,TA,TA,7,TA,TA,822,1411,544,11900
2007,7,TA,TA,5,,TA,480,1056,260,9250
2010,6,TA,TA,6,,TA,1056,1056,576,6979
2007,3,Fa,Fa,6,,TA,256,3395,0,10896
2009,1,Fa,Fa,2,Po,TA,0,800,0,6120
2009,11,TA,Gd,5,,TA,0,1387,256,6000
2008,5,TA,TA,5,,Fa,0,796,0,8777
2006,10,Gd,Ex,8,Gd,Gd,1154,1567,648,3982
2008,4,Ex,Ex,8,Gd,Ex,1218,1518,588,12677
2007,5,Gd,Gd,7,TA,Gd,738,1929,650,7050
2009,7,Gd,Ex,8,TA,Gd,1410,2704,538,13860
2007,4,TA,TA,5,,TA,493,1620,462,10793
2009,10,Ex,Ex,9,Gd,Ex,1121,1766,478,9187
2007,3,TA,TA,6,,TA,282,981,576,10530
2008,7,TA,TA,5,,,0,1048,420,7200
2008,6,TA,TA,6,Gd,TA,500,1094,495,10452
2010,6,TA,TA,6,TA,TA,0,1839,442,7700
2007,12,TA,TA,4,,Gd,131,630,0,1936
2008,5,Gd,Gd,7,,Gd,0,1665,562,8125
2009,10,TA,TA,4,Gd,TA,0,1510,296,9084
2009,7,Gd,Gd,7,TA,Gd,0,1716,512,8750
2008,6,TA,TA,6,,TA,0,1469,216,10320
2008,8,Gd,Gd,8,TA,Gd,1696,2113,839,10437
2010,3,TA,TA,6,,TA,0,1092,264,1680
2008,8,Gd,Gd,5,,TA,806,1053,312,10007
2008,2,TA,TA,7,Gd,Gd,0,1502,270,7200
2010,1,TA,TA,6,Gd,TA,0,1458,330,17503
2009,3,TA,TA,5,,TA,637,1486,480,9937
2007,11,TA,TA,7,TA,Gd,0,1935,550,12384
2009,7,Gd,Gd,8,TA,Gd,1361,2448,711,46589
2009,7,TA,TA,6,TA,Fa,0,1392,576,13560
2008,4,TA,TA,4,,Gd,920,1181,588,10012
2006,1,Gd,Ex,8,Ex,Ex,1721,2097,1134,20896
2006,11,Gd,Gd,8,TA,Gd,0,1936,504,11194
2007,8,TA,TA,6,Po,Gd,187,2380,596,18450
2008,10,TA,Gd,6,Fa,Gd,1138,1679,575,8125
2006,11,TA,TA,5,TA,TA,988,1437,576,14175
2006,7,TA,Fa,4,Gd,Fa,0,1180,252,11600
2009,2,Gd,Gd,6,,Gd,193,1476,540,8633
2009,7,TA,TA,6,,TA,551,1369,300,6629
2006,6,Gd,TA,6,TA,Gd,767,1208,546,11250
2007,6,TA,Gd,6,TA,TA,1186,1839,416,14442
2008,7,TA,TA,6,Gd,TA,892,1136,384,9200
2009,4,TA,TA,6,TA,TA,311,1441,440,2289
2006,5,TA,TA,4,,TA,0,1774,779,9600
2009,5,Gd,Gd,5,,TA,0,792,240,9022
2009,7,Gd,Gd,8,Gd,Ex,0,2046,834,11844
2007,10,TA,TA,5,,TA,827,988,572,9945
2010,5,TA,TA,6,TA,Gd,543,923,264,8012
2009,7,TA,TA,5,,TA,182,1520,281,4500
2008,11,TA,Gd,6,Gd,Gd,1003,1291,431,2887
2007,7,Gd,Gd,9,TA,Gd,1059,1668,702,11248
2010,6,Gd,TA,7,,Gd,0,1839,486,16770
2007,9,Gd,Gd,7,TA,Gd,828,2090,577,5062
2007,8,Gd,Gd,7,,Gd,0,1761,578,10207
2007,3,Gd,Gd,7,,Gd,239,1102,480,5105
2007,10,Gd,Gd,8,Gd,Gd,945,1419,567,8089
2007,6,Gd,Gd,6,Gd,Gd,20,1362,460,7577
2008,5,Gd,Gd,6,TA,Gd,697,848,420,4426
2007,1,Ex,Ex,10,Ex,Ex,1455,4316,832,21535
2006,4,Gd,Gd,7,Gd,Gd,965,2519,628,26178
2006,12,TA,TA,5,,TA,0,1073,326,5400
2009,4,TA,TA,5,,TA,0,1539,576,6120
2006,7,TA,Gd,6,TA,Gd,980,1137,551,13811
2006,6,TA,TA,5,,TA,616,616,205,6000
2006,9,TA,TA,5,,Ex,210,1148,308,6420
2010,4,TA,TA,5,Gd,TA,553,894,336,8450
2008,7,Gd,Gd,7,,Gd,16,1391,530,4282
2006,5,Gd,Gd,8,Gd,Ex,1274,1800,765,14331
2006,7,TA,TA,7,,TA,0,1164,528,9600
2006,7,Ex,Ex,8,Gd,Ex,0,2576,666,12438
2010,5,TA,Gd,5,Po,Gd,0,1812,672,7630
2010,5,Gd,Gd,7,,Gd,712,1484,606,8400
2010,7,Fa,Fa,4,,,0,1092,0,5600
2007,6,TA,Gd,7,TA,Gd,1219,1824,739,115149
2009,12,Gd,Gd,8,Gd,Gd,863,1324,550,6240
2007,7,Gd,Gd,7,Gd,Gd,0,1456,400,9018
2008,12,TA,TA,5,,TA,0,904,408,7162
2008,7,Gd,TA,3,,TA,0,729,0,4130
2010,1,TA,TA,4,,TA,0,1178,384,8712
2008,10,Gd,Gd,8,Gd,Gd,767,1228,472,4671
2006,5,TA,TA,4,,TA,789,960,576,9873
2010,3,Gd,Gd,6,,TA,533,1479,475,13517
2009,8,TA,TA,6,TA,Gd,0,1350,478,10140
2007,7,TA,TA,7,,TA,0,2554,704,10800
2008,11,TA,Gd,5,Fa,Gd,1084,1178,439,10000
2008,8,Gd,Gd,7,TA,Gd,1173,2418,983,10542
2006,5,TA,TA,5,Po,Gd,523,971,300,9920
2006,12,Gd,Gd,8,TA,Gd,1148,1742,564,6563
2010,5,Gd,Gd,6,,Gd,662,848,420,4426
2009,7,TA,TA,4,,TA,191,864,463,8120
2008,5,TA,TA,4,,TA,0,1470,548,8172
2009,2,Ex,Ex,9,Gd,Ex,1234,1698,768,13286
2009,11,TA,Gd,4,,TA,375,864,660,6960
2009,12,Gd,Gd,6,Gd,Gd,808,1680,540,21695
2009,2,Gd,Gd,7,,Gd,724,1232,632,7314
2009,7,TA,TA,5,,TA,0,1776,888,11475
2009,1,TA,TA,4,,TA,152,1208,539,6240
2010,3,Gd,Gd,8,TA,Gd,1180,1616,608,5389
2007,5,Gd,Gd,7,Gd,Ex,786,1146,438,9590
2008,7,Gd,Gd,7,TA,Gd,252,2031,541,11404
2009,3,TA,TA,5,TA,TA,594,1144,264,10000
2007,5,TA,TA,5,,TA,0,948,300,8978
2006,10,TA,TA,7,TA,Gd,390,1768,320,10800
2006,7,TA,TA,3,,,0,1040,400,8544
2006,6,Gd,Gd,8,Gd,Gd,0,1801,800,10463
2009,3,TA,TA,5,,Gd,1200,1200,0,10800
2009,4,Gd,Gd,7,,Gd,0,1728,572,9313
2007,5,TA,TA,5,,Fa,0,1432,360,9600
2008,5,TA,Gd,6,,TA,832,912,288,6768
2007,12,TA,TA,7,,Gd,0,1349,539,8450
2009,10,TA,TA,5,TA,Gd,444,1464,480,12886
2008,10,Gd,Gd,8,TA,Gd,733,1337,462,5395
2008,7,Ex,Gd,8,TA,TA,575,2715,831,8963
2009,4,Gd,Gd,7,TA,Gd,300,2256,554,8795
2009,5,Gd,Gd,7,Gd,TA,0,2640,864,11700
2010,3,Gd,Gd,7,TA,Gd,919,1720,527,10593
2009,4,TA,TA,4,,,0,1529,240,8405
2010,6,TA,TA,4,,TA,0,1140,0,8800
2007,8,Gd,Gd,7,,Gd,0,1320,400,7750
2006,7,TA,Gd,6,,Gd,1200,1494,576,9236
